Perturbation	Ensemble average response
[PD_01]	0.52
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.46
[PD_06]	1.0
[PD_07]	1.5833332824707032
[PD_08]	1.833976287841797
[PD_09]	1.833976287841797
[PD_10]	2.0
[PD_11]	1.833976287841797
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	0.8490252685546875
[PD_01]-[PD_07]	0.3139999961853027
[PD_05]-[PD_12]	1.46
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.46
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.46
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.43112648010253907
[PD_06]-[PD_07]	0.68
[PD_03]-[PD_09]	1.3689242553710939
[PD_03]-[PD_08]	1.3689242553710939
[PD_05]-[PD_07]	1.46
[PD_01]-[PD_02]	0.52
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.7217610168457032
[PD_06]-[PD_08]	0.8804598999023437
[PD_05]-[PD_08]	-0.380603141784668
[PD_08]-[PD_11]	1.833976287841797
