Perturbation	Ensemble average response
[PD_01]	0.730999984741211
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.73
[PD_06]	1.0
[PD_07]	1.84
[PD_08]	1.6944998168945313
[PD_09]	1.7577944946289064
[PD_10]	2.0
[PD_11]	1.6944998168945313
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	1.0167979431152343
[PD_01]-[PD_07]	0.5880000305175781
[PD_05]-[PD_12]	1.73
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.73
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.73
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.6144533920288086
[PD_06]-[PD_07]	0.8800000762939453
[PD_03]-[PD_09]	1.2552124786376953
[PD_03]-[PD_08]	1.2552124786376953
[PD_05]-[PD_07]	1.73
[PD_01]-[PD_02]	0.730999984741211
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.5745530700683594
[PD_06]-[PD_08]	0.7579881286621094
[PD_05]-[PD_08]	-0.2123831558227539
[PD_08]-[PD_11]	1.6944998168945313
